127.0.0.1 - - [26/Apr/2024:08:18:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:01 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:04 +0530] "GET /Buss/ManageBus.jsp HTTP/1.1" 200 19006
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:04 +0530] "GET /Buss/style.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:14 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:15 +0530] "GET /Buss/ManageUserDetails.jsp HTTP/1.1" 200 16736
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:25 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:26 +0530] "GET /Buss/ManageBookingDetails.jsp HTTP/1.1" 200 16753
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:33 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:35 +0530] "GET /Buss/ManageBus.jsp HTTP/1.1" 200 19006
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:19:35 +0530] "GET /Buss/style.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:20:13 +0530] "POST /Buss/insert HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:20:27 +0530] "POST /Buss/bus HTTP/1.1" 200 13903
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:20:46 +0530] "POST /Buss/update HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:21:41 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:13 +0530] "GET /Buss/ManageBus.jsp HTTP/1.1" 200 19006
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:13 +0530] "GET /Buss/style.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:25 +0530] "POST /Buss/bus HTTP/1.1" 200 13942
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:27 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:37 +0530] "GET /Buss/ManageBus.jsp HTTP/1.1" 200 19006
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:37 +0530] "GET /Buss/style.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:51 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:22:53 +0530] "GET /Buss/ManageUserDetails.jsp HTTP/1.1" 200 16736
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:23:13 +0530] "POST /Buss/userView HTTP/1.1" 200 16736
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:24:32 +0530] "POST /Buss/userView HTTP/1.1" 200 17631
0:0:0:0:0:0:0:1 - - [26/Apr/2024:08:24:48 +0530] "GET /Buss/dashBoard.jsp HTTP/1.1" 200 13514
