127.0.0.1 - - [01/May/2024:12:47:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2024:12:47:29 +0530] "GET /BusDemostrate/dashBoard.jsp HTTP/1.1" 200 18844
0:0:0:0:0:0:0:1 - - [01/May/2024:12:47:31 +0530] "GET /BusDemostrate/style.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [01/May/2024:12:47:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/May/2024:12:50:30 +0530] "GET /BusDemostrate/dashBoard.jsp HTTP/1.1" 200 21273
0:0:0:0:0:0:0:1 - - [01/May/2024:12:50:30 +0530] "GET /BusDemostrate/style.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [01/May/2024:12:50:30 +0530] "GET /BusDemostrate/img/logo.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [01/May/2024:12:51:18 +0530] "GET /BusDemostrate/dashBoard.jsp HTTP/1.1" 200 20145
0:0:0:0:0:0:0:1 - - [01/May/2024:12:51:18 +0530] "GET /BusDemostrate/style.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [01/May/2024:12:51:18 +0530] "GET /BusDemostrate/img/logo.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [01/May/2024:12:53:59 +0530] "GET /BusDemostrate/dashBoard.jsp HTTP/1.1" 200 19582
0:0:0:0:0:0:0:1 - - [01/May/2024:12:54:00 +0530] "GET /BusDemostrate/style.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [01/May/2024:12:54:00 +0530] "GET /BusDemostrate/img/logo.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [01/May/2024:12:54:35 +0530] "GET /BusDemostrate/dashBoard.jsp HTTP/1.1" 200 19615
0:0:0:0:0:0:0:1 - - [01/May/2024:12:54:36 +0530] "GET /BusDemostrate/img/logo.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [01/May/2024:12:54:36 +0530] "GET /BusDemostrate/style.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [01/May/2024:12:55:37 +0530] "GET /BusDemostrate/dashBoard.jsp HTTP/1.1" 200 19204
0:0:0:0:0:0:0:1 - - [01/May/2024:12:55:37 +0530] "GET /BusDemostrate/style.css HTTP/1.1" 404 778
